SiteID,StatementType,Statement_Bucket
Default,Abort ,Admin
Default,Alter Table ,Admin
Default,Begin Loading ,Load
Default,Begin Mload ,Load
Default,Begin Transaction ,Other
Default,Call,Call SP
Default,Check Workload,Load
Default,CheckPoint Loading,Load
Default,Collect Statistics,Collect Stats
Default,Comment Get/Set ,Admin
Default,Commit Work ,Transaction
Default,Create Database/User,Create Object
Default,Create Index,Create Object
Default,Create Join Index ,Create Object
Default,Create Table,Create Table
Default,Create View ,Create Object
Default,Database,Modify Session
Default,Delete,Delete
Default,Drop Database ,Drop Object
Default,Drop Index,Drop Object
Default,Drop Join Index ,Drop Object
Default,Drop Macro,Drop Object
Default,Drop Statistics ,Drop Object
Default,Drop Table,Drop Table
Default,Drop View ,Drop Object
Default,End Edit,Other
Default,End Loading ,Load
Default,End Transaction ,Other
Default,Exec,Exec Macro
Default,Execute Mload ,Load
Default,Flush Query Logging ,Admin
Default,Grant ,Admin
Default,Grant/Revoke Logon,Admin
Default,Help,Other
Default,Insert,Insert
Default,Merge Into,Merge
Default,Mload ,Load
Default,Modify Database ,Admin
Default,Not Applicable,Other
Default,Null,Other
Default,Release Mload ,Load
Default,Rename Table,Admin
Default,Replace Macro ,Create Object
Default,Replace Procedure ,Create Object
Default,Replace View,Create Object
Default,Revoke,Admin
Default,Select,Select
Default,Set Query_Band,Other
Default,Set Session ,Other
Default,Show,Other
Default,UCAbort ,Admin
Default,Unrecognized type ,Other
Default,Update,Update