SiteID,Pattern_Type,Pattern,App_Bucket,Use_Bucket,Priority
Default,Equal,ATANASUITE,Atanasuite,Analytic,1000
Default,Like,WIREPORTSERVER%,BOBJ,Analytic,1010
Default,Like,BUSOBJ%,BOBJ,Analytic,1011
Default,Like,WEBIRICHCLIENT%,BOBJ,Analytic,1012
Default,Equal,BTEQ,BTEQ,ETL,1020
Default,Equal,HTTPD,HTTPD,Application,1030
Default,Equal,JMP,JMP,Application,1040
Default,Equal,DTSRUN,MS SSIS,ETL,1050
Default,Equal,PHP,PHP,Application,1070
Default,Equal,RSESSION,R,Analytic,1080
Default,Equal,SAS,SAS,Analytic,1090
Default,Equal,Queryman,SQLAssistant,Analytic,1100
Default,Equal,SQLA,SQLAssistant,Analytic,1110
Default,Like,BRIO%,BRIO Query,Analytic,1111
Default,Equal,ARCMain,TTU,Backup,1120
Default,Equal,DSMain,TTU,Backup,1130
Default,Equal,MULTILOAD,TTU,ETL,1140
Default,Equal,TPTSTRM,TTU,Stream,1170
Default,Equal,TPUMPEXE,TTU,Stream,1190
Default,Equal,TERADATAKERNEL,Jupyter,Analytic,1234
Default,Equal,OUTLOOK,MS Office,Application,1500
Default,Like,AGINITY.NETEZZAWORKBENCH%,Netezza,Analytic,10000
Default,Like,SPOTFIRE%,Spotfire,Application,10010
Default,Like,ADEPTRA_SELFSERVREPORT%,Adeptra,Analytic,10100
Default,Like,BIBUSTKSERVERMAIN%,Cognos,Analytic,10200
Default,Like,M_DB.TER.GCC4P64%,Ab Initio,ETL,10300
Default,Like,LOADIPSHARETABLE%,Unknown,Unknown,10400
Default,Like,AGINIT~1:NET:SS%,Netezza,Analytic,10500
Default,Like,ISSERVEREXEC%,MS SSIS,ETL,10600
Default,Like,ISSERVEREXEC%,SSIS,ETL,10700
Default,Like,NODEDBQUERY%,LavaStorm,Analytic,10800
Default,Like,QVCONNECT32%,QlikView,Analytic,10900
Default,Like,QVCONNECT64%,QlikView,Analytic,11000
Default,Like,AL_DESIGNER%,SAP BODS,Analytic,11100
Default,Like,TABPROTO%,Tableau,Analytic,11200
Default,Like,NODEDBEXEC%,LavaStorm,Analytic,11300
Default,Like,DTS%,MS SSIS,ETL,11400
Default,Like,DTE%,MS SSIS,ETL,11401
Default,Like,AL_ENGINE%,SAP BODS,Analytic,11500
Default,Like,TBUILDEXE%,TTU,ETL,11501
Default,Like,ISSERVICE%,Teradata,ETL,11600
Default,Like,TDLOADEXE%,TTU,ETL,11601
Default,Like,M8MULPRC%,Microstrategy,Analytic,11700
Default,Like,QUERYMAN%,SQLAssistant,Analytic,11800
Default,Like,TPTUPD%,TTU,ETL,11801
Default,Like,SQLA:NET%,SQLAssistant,Analytic,11900
Default,Like,EXECUTOR%,TTU,ETL,12000
Default,Like,FASTLOAD%,TTU,ETL,12100
Default,Like,MULTLOAD%,TTU,ETL,12200
Default,Like,RUNDLL32%,Unknown,Unknown,12300
Default,Like,ALTERYX%,Alteryx,Analytic,12400
Default,Like,TRANSDA%,Cognos,Analytic,12500
Default,Like,MSQRY32%,MS Office,Analytic,12600
Default,Like,TDWMDIP%,Teradata,Internal,12700
Default,Like,FASTEXP%,TTU,Export,12800
Default,Like,OLELOAD%,TTU,ETL,12900
Default,Like,TPTLOAD%,TTU,ETL,13000
Default,Like,DTEXEC%,MS SSIS,ETL,13200
Default,Like,SQLSERVR%,MS SQL Server,ETL,13211
Default,Like,MSMDSRV%,MS SSAS,Analytic,13212
Default,Like,SSMS%,MS SQL Server,ETL,13213
Default,Like,DEVENV%,MS VisualStudio,Application,13300
Default,Like,IISEX%,MS VisualStudio,Application,13301
Default,Like,NVTERA%,NetVault,Backup,13400
Default,Like,ODBC%,ODBC,Analytic,13401
Default,Like,ESSSVR%,Oracle Hyperion Essbase,Application,13402
Default,Like,OLAPISVR%,Oracle Hyperion Essbase,Application,13403
Default,Like,TPTEXP%,TTU,Export,13500
Default,Like,VECOMP%,TTU,ETL,13600
Default,Like,WINDDI%,TTU,ETL,13700
Default,Like,%INFORMATICA%,Informatica,ETL,13800
Default,Like,PMDTM,Informatica,ETL,13900
Default,Like,PMDESIGN,Informatica,ETL,14000
Default,Like,PMDTMSVC%,Informatica,ETL,14010
Default,Like,MICROSOFT.MASH%,MS PowerBI,Analytic,14021
Default,Like,BIBUS%,Cognos,Analytic,14100
Default,Like,COGTR%,Cognos,Analytic,14200
Default,Like,TM1SD%,Cognos,Analytic,14300
Default,Like,CRW32%,Crystal Reports,Analytic,14400
Default,Like,DBVIS%,DbVisualizer,Analytic,14500
Default,Like,UWSGI%,Teradata,Unknown,14600
Default,Like,TIWIZ%,TTU,ETL,14700
Default,Like,UNICA%,Unica,Application,14800
Default,Like,JDBC%,JDBC,Application,14900
Default,Like,JAVA%,JDBC,Application,14901
Default,Like,%/JMP,JMP,Application,15000
Default,Like,%PERL%,Perl,Application,15001
Default,Like,MSACCESS%,MS Office,Analytic,15002
Default,Like,EXCEL%,MS Office,Analytic,15003
Default,Like,POWERPNT%,MS Office,Analytic,15004
Default,Like,QUERYCHAMELEON%,Nexus,Analytic,15005
DEfault,Like,TOAD%,Toad,Analytic,15010
Default,Like,W3WP%,MS IIS,Application,15100
Default,Like,DOTNET%,MS .Net Driver,Application,15110
Default,Like,%ANACONDA%,Python,Analytic,15200
Default,Like,%SASFound%,SAS,Analytic,15300
Default,Like,QUICKFLOW%,SFDC,Application,15301
Default,Like,TSET%,TTU,Support,15400
Default,Like,%POWERBI%,PowerBI,Analytic,15500
Default,Like,%TABLEAU%,Tableau,Analytic,15600
Default,Like,BMT%,Cognos,Analytic,15700
Default,Like,%PYT,Python,Analytic,15800
Default,Like,%PYTHON%,Python,Analytic,15900
Default,Like,DUL%,Teradata,Analytic,16000
Default,Like,RAYTHEON%,Raytheon Inspect Analytics,Analytic,16000
Default,Equal,1,Unknown,Analytic,20000
Default,Equal,(DELETED)                     ,Unknown,Analytic,20001
Default,Equal,?,Unknown,Analytic,20002
Default,Equal,ACLDA64                       ,ACL for Win (Highbond),Analytic,20003
Default,Like,AQTV%             ,Advanced Query Tool,Analytic,20004
Default,Equal,CAS                           ,Unknown,Analytic,20005
Default,Equal,CMO_PANEL:NET:SS:16.20.09.000 ,Unknown,Analytic,20006
Default,Equal,COLLECTION                    ,TD PDCR Procerss,Analytic,20007
Default,Equal,COMPSRV                       ,SAS,Analytic,20008
Default,Equal,CSPPEEK                       ,Crashdumps,System,20009
Default,Equal,D_UGAP_DATA.PY                ,Python,Analytic,20010
Default,Equal,DBEAVER                       ,Universal DB Tool,Analytic,20011
Default,Equal,DSAPI_SLAVE                   ,DataStage,ETL,20012
Default,Equal,HPMQUERYSERVICEQUEUE:NET:SS:13,Unknown,Analytic,20013
Default,Equal,IMPADMIN                      ,Impromptu,Analytic,20014
Default,Equal,INFORMATIONDESIGNTOOL         ,Business Objects,Analytic,20015
Default,Equal,IR_ACO_DATALOADER%,Demand Tools - CRM,Analytic,20016
Default,Like,KERNEL%,Azure Data Studio,Analytic,20017
Default,Like,MSREPORTBUILDER%,SQL Server Reporting Services,Analytic,20018
Default,Like,MULTITHREADSGENQUEUE%,Python,Analytic,20019
Default,Equal,MYSQLD                        ,MySQL,Analytic,20020
Default,Equal,ORCHDBUTIL                    ,DataStage,ETL,20021
Default,Equal,PHANTOM                       ,CRM,Analytic,20022
Default,Equal,PMDTM                         ,Informatica,Analytic,20023
Default,Like,PREVIEWPROCESSINGSERVICE%      ,SQL Server Reporting Services,Analytic,20024
Default,Equal,R                             ,R Studio,Analytic,20025
Default,Like,REPORTINGSERVICESSERVICE%,SQL Server Reporting Services,Analytic,20026
Default,Equal,RTERM                         ,R Studio,Analytic,20027
Default,Equal,RUNAGENT                      ,BMC(?),System,20028
Default,Equal,RUNDLL32                      ,Windows App,Analytic,20029
Default,Equal,SEGUIDE                       ,SAS,Analytic,20030
Default,Equal,SQLDBX                        ,SQLDB Explorer,Analytic,20031
Default,Equal,SRCLIB_DLL_X64-32             ,Alteryx,Analytic,20032
Default,Equal,TDXODBC                       ,TD Linux ODBC,Analytic,20033
Default,Like,TITAN2_%,unknown,Analytic,20034
Default,Equal,TRNSFRMR                      ,Cognos,Analytic,20035
Default,Equal,Unavailable                   ,unknown,Analytic,20036
Default,Equal,UVSH                          ,DataStage,ETL,20037
Default,Equal,WRITE_UGAP_                   ,Apache Airflow,Analytic,20038
Default,Like,JOBRUNNER%,D3,ETL,144101
Default,Like,%PL%,Perl,Application,1000001
Default,Like,OSH%,IBM Data Stage,ETL,1000002