SuperCategory,FeatureCategory,Usage,MOB,FeatureBitPos,FeatureName
Data Optimization,Columnar,DDL,1,30,Column Partitioning and Row Partitioning
Data Optimization,Columnar,DDL,1,31,Column-Partitioned and a NoPI
Data Optimization,Columnar,DDL,1,33,Column-Partitioned and a PA
Data Optimization,Columnar,DDL,1,32,Column-Partitioned and a PI
Data Optimization,Columnar,DDL,1,24,Teradata Columnar
Data Optimization,Data Distribution,DDL,1,20,Hashed Table
Data Optimization,Data Distribution,DDL,1,25,No Primary Index
Data Optimization,Data Distribution,DDL,1,120,Not System-Default Map
Data Optimization,Data Distribution,DDL,1,84,Primary Index
Data Optimization,Data Distribution,DDL,1,118,Sparse Map
Data Optimization,Data Distribution,DDL,1,119,Two Maps
Data Optimization,Data Loading,APP,1,92,Fastexport Protocol
Data Optimization,Data Loading,APP,1,93,Fastload Protocol
Data Optimization,Data Loading,APP,1,96,MloadX Protocol
Data Optimization,Data Loading,APP,1,94,Multiload Protocol
Data Optimization,Data Management,DDL,1,131,Function Alias
Data Optimization,Data Management,DDL,1,19,MULTISET Table
Data Optimization,Data Management,DDL,1,102,Queryable View Column Info
Data Optimization,Data Management,DDL,1,18,SET Table
Data Optimization,Data Management,DDL,1,130,Soft RetLimit for number of rows AMP step returns
Data Optimization,QueryGrid,ENV,1,58,Query Grid
Data Optimization,QueryGrid,ENV,1,133,QueryGrid Common Remote Table Elimination
Data Optimization,QueryGrid,ENV,1,132,QueryGrid Remote Tables
High Availability,Backup & Restore,ENV,1,95,Archive/Restore
High Availability,Backup & Restore,ENV,1,59,Data Stream Architecture
High Availability,High Availability,PE,1,72,Autoreparse
High Availability,High Availability,DDL,1,17,Fallback
High Availability,High Availability,SQL,1,81,Load Isolation
High Availability,High Availability,DDL,1,83,Partition Level Locking
High Availability,High Availability,ENV,1,76,Redrive
High Availability,High Availability,ENV,1,80,Replication
High Availability,High Availability,ENV,1,71,Teradata Unity
In-Database Analytics,Advanced Data Types,DDL,1,49,Array Data Type
In-Database Analytics,Advanced Data Types,DDL,1,36,Binary LOB
In-Database Analytics,Advanced Data Types,DDL,1,37,Character LOB
In-Database Analytics,Advanced Data Types,DDL,1,107,Dataset Data Type
In-Database Analytics,Advanced Data Types,DDL,1,126,Dataset Data Type Storage Format CSV
In-Database Analytics,Advanced Data Types,DDL,1,44,Distinct Data Type
In-Database Analytics,Advanced Data Types,SQL,1,108,Dot Notation
In-Database Analytics,Advanced Data Types,DDL,1,43,JSON Data Type
In-Database Analytics,Advanced Data Types,DDL,1,50,Number Data Type
In-Database Analytics,Advanced Data Types,,1,135,SET TRANSFORM
In-Database Analytics,Advanced Data Types,DDL,1,38,Small LOB
In-Database Analytics,Advanced Data Types,DDL,1,45,Structure Data Type
In-Database Analytics,Advanced Data Types,DDL,1,41,User Defined Type
In-Database Analytics,Advanced Data Types,DDL,1,42,XML Data Type
In-Database Analytics,Advanced SQL Function,SQL,1,121,LEAD LAG Analytics
In-Database Analytics,Advanced SQL Function,,1,137,Multisource
In-Database Analytics,Advanced SQL Function,SQL,1,136,ODBC Scalar Functions
In-Database Analytics,Advanced SQL Function,SQL,1,39,Scalar Sub Query
In-Database Analytics,Advanced SQL Function,SQL,1,74,Teradata Pivot
In-Database Analytics,Advanced SQL Function,SQL,1,75,Teradata Unpivot
In-Database Analytics,Geospatial,SQL,1,47,3D Geospatial
In-Database Analytics,Geospatial,SQL,1,46,Geospatial
In-Database Analytics,Geospatial,SQL,1,125,Geospatial Index Distance Join Predicate
In-Database Analytics,Geospatial,SQL,1,124,Geospatial Index Join Predicate
In-Database Analytics,Geospatial,SQL,1,123,Geospatial Index Single Table Distance Predicate
In-Database Analytics,Geospatial,SQL,1,122,Geospatial Index Single Table Predicate
In-Database Analytics,In-Database Programming,SQL,1,100,Analytics Extensions
In-Database Analytics,In-Database Programming,SQL,1,99,Bit Manipulation Function
In-Database Analytics,In-Database Programming,ENV,1,53,External Stored Procedure
In-Database Analytics,In-Database Programming,ENV,1,97,Fast Path Function
In-Database Analytics,In-Database Programming,SQL,1,56,Foreign Function
In-Database Analytics,In-Database Programming,APP,1,98,R Table Operator
In-Database Analytics,In-Database Programming,SQL,1,106,Script Table Operator
In-Database Analytics,In-Database Programming,SQL,1,54,Table Function
In-Database Analytics,In-Database Programming,SQL,1,55,Table Operator
In-Database Analytics,In-Database Programming,SQL,1,57,Teradata Remote Query
In-Database Analytics,In-Database Programming,SQL,1,51,Teradata Stored Procedure
In-Database Analytics,In-Database Programming,DDL,1,21,Trigger
In-Database Analytics,In-Database Programming,DDL,1,52,User Defined Function
In-Database Analytics,Temporal,SQL,1,48,Period Data Type
In-Database Analytics,Temporal,DDL,1,34,Teradata Temporal
In-Database Analytics,Temporal,DDL,1,129,Time Series Table
Performance,Compression,REQ,1,23,Auto Compression
Performance,Compression,REQ,1,22,Block Level Compression
Performance,Connectivity - ODBC,APP,1,40,Statement Info Parcel
Performance,Performance - In-Memory,PE,1,112,In-Memory All Rows One AMP Optimization
Performance,Performance - In-Memory,PE,1,113,In-Memory AVX2 Support
Performance,Performance - In-Memory,PE,1,110,In-Memory Enhancement for Outer Join
Performance,Performance - In-Memory,PE,1,111,In-Memory Enhancement for PRPD Join
Performance,Performance - In-Memory,PE,1,73,Teradata In-Memory
Performance,Performance - Indexing,DDL,1,86,Composite Secondary Index
Performance,Performance - Indexing,DDL,1,87,Join Index
Performance,Performance - Indexing,DDL,1,90,Non Unique Hashed Index
Performance,Performance - Indexing,DDL,1,88,Non Unique UnHashed Index
Performance,Performance - Indexing,DDL,1,85,Secondary Index
Performance,Performance - Indexing,DDL,1,91,Unique Hashed Index
Performance,Performance - Indexing,DDL,1,89,Unique UnHashed Index
Performance,Performance - Optimizer,DBSc,1,104,Aggregation Push for Union All
Performance,Performance - Optimizer,PE,1,105,Binary Join Push for Union All
Performance,Performance - Optimizer,PE,1,128,In-Memory Bulk Qualification Enhancements
Performance,Performance - Optimizer,PE,1,70,Incremental Planning and Execution
Performance,Performance - Optimizer,PE,1,116,InList Rewrite disqualifed by MultiTable Expression
Performance,Performance - Optimizer,PE,1,117,InList Rewrite Threshold Exceeded
Performance,Performance - Optimizer,PE,1,115,InList Rewrite to Outer Join
Performance,Performance - Optimizer,PE,1,114,InList Rewrite to Subquery
Performance,Performance - Optimizer,PE,1,101,Partial Redistribution Partial Duplication
Performance,Performance - Optimizer,PE,1,127,Push TOP N into UNION ALL Derived Tables
Performance,Performance - Optimizer,PE,1,82,Single Sender Row Re-Distribution
Performance,Performance - Optimizer,PE,1,109,Union All Pushdown
Performance,Performance - Partitioning,Pe,1,29,2 Byte Partitioning
Performance,Performance - Partitioning,PE,1,28,8 Byte Partitioning
Performance,Performance - Partitioning,DDL,1,27,Multi Level Partitioning
Performance,Performance - Partitioning,PE,1,26,Row Partitioning
Performance,Performance - Request,PE,1,134,Dynamic Parameterization of Literals Feature
Performance,Performance - Request,SQL,1,35,Parameterized Query
Performance,Performance - SQL,PE,1,103,Multiple Count Distinct
Usage Analysis,Performance Management,DDL,1,16,Collect Statistics
Usage Analysis,Performance Management,,1,78,Index Analysis
Usage Analysis,Performance Management,,1,79,Partition Analysis
Usage Analysis,Usage Analysis,LOG,1,63,DBQL EXPLAIN Logging
Usage Analysis,Usage Analysis,LOG,1,67,DBQL OBJECT USECOUNT Logging
Usage Analysis,Usage Analysis,LOG,1,62,DBQL OBJECTS Logging
Usage Analysis,Usage Analysis,LOG,1,66,DBQL PARAMINFO Logging
Usage Analysis,Usage Analysis,LOG,1,60,DBQL SQL Logging
Usage Analysis,Usage Analysis,LOG,1,65,DBQL STATSUSAGE Logging
Usage Analysis,Usage Analysis,LOG,1,61,DBQL STEP Logging
Usage Analysis,Usage Analysis,LOG,1,69,DBQL THRESHOLD Enabled
Usage Analysis,Usage Analysis,LOG,1,68,DBQL UTILITYINFO Logging
Usage Analysis,Usage Analysis,LOG,1,64,DBQL XMLPLAN Logging
Usage Analysis,Usage Analysis,LOG,1,77,Queryband